Hindi,English,Mundari,Mundari_English_Pronounciation
भारी बारिश के दौरान अंदर ही रहें.,Stay indoors during heavy rain.,भारी बारिश रआः सोमाए रेगे गे ताइकेना।,bhaarii baarisha raaah somaae rege ge taaikenaa.
रात को दरवाज़ा बंद रखें.,Keep the door closed at night.,तायोम तायोमते दरवाज़ा बंद ताइकेना।,taayoma taayomate darawaaja़aa banda taaikenaa.
अजनबियों के लिए दरवाज़ा न खोलें.,Do not open the door to strangers.,ओड़ो: अजनबीको नातिन दरवाज़ा नमो: ओकोआ।,oda़o: ajanabiiko naatina darawaaja़aa namo: okoaa.
अपने माता-पिता को बताएं कि आप कहां जा रहे हैं।,Tell your parents where you are going.,आपान माता-पिता को उदुब केदा चि आम काजि तना।,aapaana maataa-pitaa ko uduba kedaa chi aama kaaji tanaa.
किसी अपरिचित स्थान पर किसी वयस्क के साथ रहें।,Be accompanied by an adult in an unfamiliar place.,सोबेन अपरिचित स्थान रे जेतन वयस्क के ते ताइकेना।,sobena aparichita sthaana re jetana wayaska ke te taaikenaa.
आपातकालीन संपर्क जानकारी अपने साथ रखें।,Carry emergency contact information with you.,अमातकालीन संपर्क जानकारी आपान ते रिकाएआ।,amaatakaaliina sanparka jaanakaarii aapaana te rikaaeaa.
जब आप असुरक्षित महसूस करें तो मदद मांगें।,Ask for help when you feel unsafe.,मेनदो आम असुरक्षित महसूस ताइकेना दो मदद ताइकेना।,menado aama asurakshashita mahasuusa taaikenaa do madada taaikenaa.
मैं अब आराम महसूस कर रहा हूं.,I am feeling relaxed now.,आञ नातिन आराम महसूस केदाञ।,aanya naatina aaraama mahasuusa kedaanya.
मैं आज उत्साहित महसूस कर रहा हूं.,I am feeling excited today.,आञ तिसिङ उत्साहित महसूस केदाञ।,aanya tisinga utsaahita mahasuusa kedaanya.
मुझे मीटिंग को लेकर घबराहट महसूस हो रही है.,I am feeling nervous about the meeting.,आञ मीटिंग के ते घबराहट महसूस होबाओआ।,aanya miitinga ke te ghabaraahata mahasuusa hobaaoaa.
मुझे अपने काम पर गर्व है.,I am proud of my work.,आञ आञ आपान काम रे गर्व मेनाः।,aanya aanya aapaana kaama re garwa menaah.
मुझे आज निराशा महसूस हो रही है.,I feel disappointed today.,आञ तिसिङ निराशा महसूस ताइकेना।,aanya tisinga niraashaa mahasuusa taaikenaa.
मुझे इस बात पर गुस्सा आता है.,I get angry about this.,आञ नेआ जागार रे गुस्सा हिजुःआञ।,aanya neaa jaagaara re gussaa hijuhaanya.
मैं इस प्रश्न से भ्रमित महसूस करता हूँ।,I feel confused by this question.,आञ नेआ प्रश्न ते भ्रमित महसूस केदाञ।,aanya neaa prashna te bhramita mahasuusa kedaanya.
मैं आशान्वित महसूस करता हूं।,I feel hopeful.,आञ आशान्वित महसूस रिकाञाञ।,aanya aashaanwita mahasuusa rikaanyaanya.
आप आये तो मे खुश हुआ।,I am glad you came.,अइंग हिजुःजाना दो आञ हिजुःजाना दो आञ हिजुःजाना।,ainga hijuhjaanaa do aanya hijuhjaanaa do aanya hijuhjaanaa.
मुझे कल की चिंता है.,I am worried about tomorrow.,आञ आञाः कल रेआ चिंता मेना:।,aanya aanyaah kala reaa chintaa menaa:.
मैं इस खबर से हैरान हूं.,I am shocked by this news.,आञ ने खबर ते हैरान तइनाञ।,aanya ne khabara te hairaana tainaanya.
मैं आपकी मदद के लिए आभारी हूं.,I am grateful for your help.,आञ आञ आपान मदद नातिन आभारी तइना।,aanya aanya aapaana madada naatina aabhaarii tainaa.
जो कुछ हुआ उसके लिए मुझे खेद है.,I am sorry for whatever happened.,अइंगअः नातिन अइंगअः नातिन अइंगअः बेसे तइन केना इनिःअ नातिन अइंगअः मेनअः।,aingaah naatina aingaah naatina aingaah bese taina kenaa iniha naatina aingaah menaah.
मैं इस योजना से सहज हूं.,I am comfortable with this plan.,आञ ने योजना ते सहज तइनाञ।,aanya ne yojanaa te sahaja tainaanya.
मैं प्रयास करने के लिए तैयार हूं.,I am ready to try.,आञ प्रयास रिकाकेआते तैयार तइना।,aanya prayaasa rikaakeaate taiyaara tainaa.
मुझे अभी तक यकीन नहीं है.,I'm not sure yet.,अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग ते यकीन का तइना,ainga ainga ainga ainga ainga ainga ainga ainga ainga te yakiina kaa tainaa
मुझे लगता है ये काम करेगा.,I think this will work.,आञ लगव तना ने कामि रिकाञा।,aanya lagawa tanaa ne kaami rikaanyaa.
मुझे लगता है हमें इंतजार करना चाहिए.,I think we should wait.,अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग रिका तना।,ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga ainga rikaa tanaa.
मुझे आशा है कि आप ठीक हैं.,I hope you are well.,आञ आशा मेनाः चि आम ठीक मेना:।,aanya aashaa menaah chi aama thiika menaa:.
मुझे उम्मीद है कि कल बेहतर होगा.,I hope tomorrow will be better.,आञ उम्मीद मेनाः चि कल बेसे होबाओआ।,aanya ummiida menaah chi kala bese hobaaoaa.
मुझे विवरण भेजें.,Send me the details.,आञ आञ विवरण भेजकेदाञ।,aanya aanya wiwarana bhejakedaanya.
मुझे पता भेजो.,Send me the address.,अइंग अइंग अइंग अइंग अइंग अइंग अइंग अइंग,ainga ainga ainga ainga ainga ainga ainga ainga
मुझे समय सारिणी भेजें.,Send me the schedule.,आञ सोमाए समय सारिणी भेजकेदाञ।,aanya somaae samaya saarinii bhejakedaanya.
मुझे दस्तावेज़ भेजें.,Send me the documents.,अइंग अइंग दस्तावेज़ ओमकेदाए।,ainga ainga dastaaweja़ omakedaae.
उसे संदेश भेजें.,Send him a message.,इनिः आएआः संदेश भेजाएः।,inih aaeaah sandesha bhejaaeh.
यह संदेश उसे अग्रेषित करें.,Forward this message to him.,नेआ संदेश इनिः नेआ संदेश इनिः अग्रेषित ताइकेना।,neaa sandesha inih neaa sandesha inih agreshita taaikenaa.
कृपया मेरे बुलावे का जवाब दें।,Please answer my call.,अइंग अइंगअः बुलावे रेअः जवाब ओड़अः।,ainga aingaah bulaawe reah jawaaba oda़ah.
क्लास के बाद मुझे कॉल करें.,Call me after class.,आञा क्लास तायोमते आञके कॉल केदाञ।,aanyaa klaasa taayomate aanyake kaॉla kedaanya.
स्कूल कार्यालय को कॉल करें.,Call the school office.,ओड़ोः स्कूल कार्यालय के कॉल केदाएः।,oda़oh skuula kaaryaalaya ke kaॉla kedaaeh.
मुझे सही समय बताओ.,Tell me the exact time.,आञ आञ सोबेन समय उदुब केदाञ।,aanya aanya sobena samaya uduba kedaanya.
मुझे मिलने की जगह बताओ.,Tell me the meeting place.,अइंगअः अइंगअः अइंगअः रेअः जगह उदुब केदा।,aingaah aingaah aingaah reah jagaha uduba kedaa.
उसे इंतज़ार करने के लिए कहो.,Tell him to wait.,इनिः इनिःके इंतज़ार रिका केदाएः।,inih inihke intaja़aara rikaa kedaaeh.
उससे कहो मुझे फोन करे.,Tell him to call me.,इनिःते चानाः आञ फोन केदाञ आञ फोन केदाञ।,inihte chaanaah aanya phona kedaanya aanya phona kedaanya.
उन्हें अंदर आने के लिए कहें.,Ask them to come inside.,इनिः के अंदर हिजुः नातिन इनिः के अंदर हिजुःकेदाए।,inih ke andara hijuh naatina inih ke andara hijuhkedaae.
इसके बारे में शिक्षक से पूछें.,Ask the teacher about it.,नेआरा: बारे रे शिक्षक ते पूछव केदा।,neaaraa: baare re shikshashaka te puuchhawa kedaa.
मेरा फ़ोन नंबर लिखो.,Write down my phone number.,आञाः आञाः फ़ोन नंबर लिखोआञ।,aanyaah aanyaah pha़ona nanbara likhoaanya.
इस नंबर को सेव करें.,Save this number.,नेआ नंबर को सेव केदा।,neaa nanbara ko sewa kedaa.
मेरा नंबर साझा न करें.,Don't share my number.,आञाः आञाः नंबर साझा नमोःआञ।,aanyaah aanyaah nanbara saajhaa namohaanya.
संदेश को ध्यान से पढ़ें.,Read the message carefully.,ओड़ोः संदेश के ध्यान ते पढ़ाव जना।,oda़oh sandesha ke dhyaana te padha़aawa janaa.
जब आप फ्री हों तो उत्तर दें।,Please reply when you are free.,मेनदो आम फ्री होबाओःआ दो उत्तर देंगा।,menado aama phrii hobaaohaa do uttara dengaa.
ऐप खोलें.,Open the app.,ओड़ो: ऐप खोब जना।,oda़o: aipa khoba janaa.
ऐप बंद करें.,Close the app.,ओड़ो: ऐप बंद केदाए।,oda़o: aipa banda kedaae.
इंटरनेट से कनेक्ट करें.,connect to the Internet.,इंटरनेट ते कनेक्ट रिकाएआ।,intaraneta te kanekta rikaaeaa.
मोबाइल डेटा चालू करें.,Turn on mobile data.,मोबाइल डेटा चालू रिकाएआ।,mobaaila detaa chaaluu rikaaeaa.
मोबाइल डेटा बंद करें.,Turn off mobile data.,मोबाइल डेटा बंद ताइकेना।,mobaaila detaa banda taaikenaa.
बैटरी लगभग खाली है.,The battery is almost empty.,मेनदो बैटरी लगभग खाली मेना:।,menado baitarii lagabhaga khaalii menaa:.
मेरे फोन को चार्जिंग की जरूरत है.,My phone needs charging.,आञाः फोन चार्जिंग राः जरूड़ी मेना:।,aanyaah phona chaarjinga raah jaruuda़ii menaa:.
स्क्रीन टूट गयी है.,The screen is broken.,मेनदो स्क्रीन टूट जना।,menado skriina tuuta janaa.
स्पीकर बहुत तेज़ है.,The speaker is very loud.,ओड़ो: स्पीकर बेसे तेज़ मेना:।,oda़o: spiikara bese teja़ menaa:.
आवाज कम करें।,Turn down the volume.,आवाज कमि रिकाएआ।,aawaaja kami rikaaeaa.
मात्रा में वृद्धि करो।,increase the volume.,मात्रा रे वृद्धि रिकाओःआ।,maatraraa re wriddhi rikaaohaa.
चार्जर कनेक्ट करें.,Connect the charger.,मेनदो चार्जर कनेक्ट मेनाः।,menado chaarjara kanekta menaah.
चार्जर को अनप्लग करें.,Unplug the charger.,चार्जर के अनप्लग रिकाएआ।,chaarjara ke anaplaga rikaaeaa.
फ़ाइल डाउनलोड हो रही है.,The file is downloading.,मेनदो फाइल डाउनलोड होबाओआ।,menado phaaila daaunaloda hobaaoaa.
फ़ाइल तैयार है.,The file is ready.,नेआ फाइल तैयार मेना:।,neaa phaaila taiyaara menaa:.
दस्तावेज़ खोलें.,Open the document.,एटा: दस्तावेज़ खोलो:वा,etaa: dastaaweja़ kholo:waa
दस्तावेज़ सहेजें.,Save the document.,एटा: दस्तावेज़ सहेजाए।,etaa: dastaaweja़ sahejaae.
फ़ाइल का नाम बदलें.,rename file.,एटा: फ़ाइल रा: नाम बदलाव जना:,etaa: pha़aaila raa: naama badalaawa janaa:
अवांछित फ़ोटो हटाएँ.,Delete unwanted photos.,अवांछित फ़ोटो हटाओआ।,awaanchhita pha़oto hataaoaa.
कोई स्क्रीनशॉट लें।,take a screenshot.,मेनदो जेतन स्क्रीनशॉट लअः केदाएः।,menado jetana skriinashaॉta laah kedaaeh.
कृपया किताब खोलें.,Please open the book.,ओड़ोः उदुब केदा किताब ओमकेदा।,oda़oh uduba kedaa kitaaba omakedaa.
कृपया नोटबुक खोलें.,Please open the notebook.,ओड़ोः नेआ नोटबुक ओमकेदाएः।,oda़oh neaa notabuka omakedaaeh.
कृपया पेंसिल खोलें.,Please open the pencil.,ओड़ो: कृपया पेंसिल खोब जना।,oda़o: kripayaa pensila khoba janaa.
कृपया इरेज़र खोलें.,Please open the eraser.,ओड़ोः इरेज़र खोलकेदाएः।,oda़oh ireja़ra kholakedaaeh.
कृपया रूलर खोलें.,Please open the ruler.,ओड़ो: कृपया रूलर खोब जना।,oda़o: kripayaa ruulara khoba janaa.
कृपया ब्लैकबोर्ड खोलें.,Please open Blackboard.,मेनदो ब्लैकबोर्ड ओलकेदाएः।,menado blaikaborda olakedaaeh.
कृपया डेस्क खोलें.,Please open the desk.,ओड़ोः मेनदो डेस्क ओमकेदाए।,oda़oh menado deska omakedaae.
कृपया कुर्सी खोलो.,Please open the chair.,ओड़ो: कृपया कुर्सी खोलो:आ।,oda़o: kripayaa kursii kholo:aa.
कृपया वर्कशीट खोलें.,Please open the worksheet.,ओड़ो: कृपया वर्कशीट ओमकेदाए।,oda़o: kripayaa warkashiita omakedaae.
कृपया पाठ खोलें.,Please open the text.,ओड़ो: कृपया पाठ खोब जना।,oda़o: kripayaa paatha khoba janaa.
कृपया प्रश्न खोलें.,Please open the question.,ओड़ोः नेआ पेड़ेः लेलकेदाएः।,oda़oh neaa peda़eh lelakedaaeh.
कृपया उत्तर खोलें.,Please open the answer.,ओड़ोः उदुब केदाएः उत्तर खोबोर जना।,oda़oh uduba kedaaeh uttara khobora janaa.
कृपया मानचित्र खोलें.,Please open the map.,ओड़ो: कृपया मानचित्र ओमकेदाए।,oda़o: kripayaa maanachitrara omakedaae.
कृपया चित्र खोलें.,Please open the image.,ओड़ो: कृपया चित्र ओमकेदाए।,oda़o: kripayaa chitrara omakedaae.
कृपया चार्ट खोलें.,Please open the chart.,ओड़ो: कृपया चार्ट खोब जना।,oda़o: kripayaa chaarta khoba janaa.
कृपया शब्दकोश खोलें.,Please open the dictionary.,ओड़ोः नेआ शब्दकोश खोबोर जना।,oda़oh neaa shabdakosha khobora janaa.
कृपया पेज खोलें.,Please open the page.,ओड़ोः चिलका पेज ओमकेदाएः।,oda़oh chilakaa peja omakedaaeh.
कृपया अभ्यास खोलें.,Please open the practice.,ओड़ो: कृपया अभ्यास खोब जना।,oda़o: kripayaa abhyaasa khoba janaa.
कृपया कहानी खोलें.,Please open the story.,ओड़ोः नेआ कहानी खोबोर जना।,oda़oh neaa kahaanii khobora janaa.
कृपया कविता खोलें.,Please open the poem.,ओड़ोः नेआ कविता खोबोर जना।,oda़oh neaa kawitaa khobora janaa.
कृपया नंबर खोलें.,Please open the number.,ओड़ो: कृपया नंबर ओमकेदा।,oda़o: kripayaa nanbara omakedaa.
कृपया शब्द खोलें.,Please open the word.,ओड़ो: कृपया शब्द खोब जना।,oda़o: kripayaa shabda khoba janaa.
कृपया वाक्य खोलें.,Please open the sentence.,ओड़ोः नेआ वाक्य खोबोर जना।,oda़oh neaa waakya khobora janaa.
कृपया उदाहरण खोलें.,Please open the example.,नेया उदाहरण ओमकेदाए।,neyaa udaaharana omakedaae.
कृपया होमवर्क खोलें.,Please open the homework.,ओड़ोः मेनदो होमवर्क खोब जना।,oda़oh menado homawarka khoba janaa.
कृपया पुस्तक बंद करें.,Please close the book.,ओड़ो: कृपया पुस्तक बंद ताइकेना।,oda़o: kripayaa pustaka banda taaikenaa.
कृपया नोटबुक बंद करें.,Please close the notebook.,मेनदो नोटबुक बंद ताइकेना।,menado notabuka banda taaikenaa.
कृपया पेंसिल बंद करें.,Please turn off the pencil.,मेनदो कृपया पेंसिल बंद ताइकेना।,menado kripayaa pensila banda taaikenaa.
कृपया इरेज़र बंद कर दें.,Please turn off the eraser.,ओड़ोः कृपया इरेज़र बंद केदाएः।,oda़oh kripayaa ireja़ra banda kedaaeh.
कृपया रूलर बंद करें.,Please close the ruler.,ओड़ो: कृपया रूलर बंद ताइकेना।,oda़o: kripayaa ruulara banda taaikenaa.
कृपया ब्लैकबोर्ड बंद करें.,Please close Blackboard.,मेनदो ब्लैकबोर्ड बंद रिकाकेदाएः।,menado blaikaborda banda rikaakedaaeh.
कृपया डेस्क बंद करें.,Please close the desk.,ओड़ोः कृपया डेस्क बंद ताइकेना।,oda़oh kripayaa deska banda taaikenaa.
कृपया कुर्सी बंद कर दीजिए.,Please close the chair.,ओड़ोः कृपया कुर्सी बंद केदाएः।,oda़oh kripayaa kursii banda kedaaeh.
कृपया वर्कशीट बंद करें.,Please close the worksheet.,ओड़ोः कृपया वर्कशीट बंद केदाएः।,oda़oh kripayaa warkashiita banda kedaaeh.
कृपया पाठ बंद करें.,Please close the text.,ओड़ो: कृपया पाठ बंद ताइकेना।,oda़o: kripayaa paatha banda taaikenaa.
कृपया प्रश्न बंद करें.,Please close the question.,ओड़ोः चिलका प्रश्न बंद रिकाएः।,oda़oh chilakaa prashna banda rikaaeh.
कृपया उत्तर बंद करें.,Please close the answer.,ओड़ोः नेआ उत्तर बंद केदाएः।,oda़oh neaa uttara banda kedaaeh.
कृपया मानचित्र बंद करें.,Please close the map.,ओड़ो: कृपया मानचित्र बंद ताइकेना।,oda़o: kripayaa maanachitrara banda taaikenaa.
कृपया चित्र बंद करें.,Please close the picture.,ओड़ो: कृपया चित्र बंद ताइकेना।,oda़o: kripayaa chitrara banda taaikenaa.
कृपया चार्ट बंद करें.,Please close the chart.,मेनदो कृपया चार्ट बंद केदाएः।,menado kripayaa chaarta banda kedaaeh.
कृपया शब्दकोश बंद करें.,Please close the dictionary.,ओड़ोः कृपया शब्दकोश बंद केदाएः।,oda़oh kripayaa shabdakosha banda kedaaeh.
कृपया पेज बंद करें.,Please close the page.,ओड़ो: कृपया पेज बंद रिकाएआ।,oda़o: kripayaa peja banda rikaaeaa.
कृपया अभ्यास बंद करें.,Please stop practicing.,ओड़ो: कृपया अभ्यास बंद ताइकेना।,oda़o: kripayaa abhyaasa banda taaikenaa.
कृपया कहानी बंद करें.,Please stop the story.,मेनदो कृपया कहानी बंद केदाएः।,menado kripayaa kahaanii banda kedaaeh.
कृपया कविता बंद करें.,Please stop the poem.,ओड़ोः कृपया कविता बंद केदाएः।,oda़oh kripayaa kawitaa banda kedaaeh.
कृपया नंबर बंद करें.,Please turn off the number.,मेनदो कृपया नंबर बंद केदाएः।,menado kripayaa nanbara banda kedaaeh.
कृपया शब्द बंद करें.,Please stop the words.,ओड़ो: कृपया शब्द बंद ताइकेना।,oda़o: kripayaa shabda banda taaikenaa.
कृपया वाक्य बंद करें.,Please close the sentence.,ओड़ोः कृपया वाक्य बंदाओःआ।,oda़oh kripayaa waakya bandaaohaa.
कृपया उदाहरण बंद करें.,Please close the example.,ओड़ोः नेआ उदाहरण बंद ताइकेना।,oda़oh neaa udaaharana banda taaikenaa.
कृपया होमवर्क बंद करें.,Please stop homework.,ओड़ोः कृपया होमवर्क बंद ताइकेना।,oda़oh kripayaa homawarka banda taaikenaa.
कृपया पुस्तक लायें.,Please bring the book.,मेनदो कृपया पुस्तक लअः तइकेना।,menado kripayaa pustaka laah taikenaa.
कृपया नोटबुक लाएँ।,Please bring a notebook.,मेनदो कृपया नोटबुक लाएः।,menado kripayaa notabuka laaeh.
कृपया पेंसिल लाओ.,Please bring a pencil.,ओड़ोः कृपया पेंसिल लाओःआ।,oda़oh kripayaa pensila laaohaa.
कृपया इरेज़र लाएँ।,Please bring an eraser.,ओड़ो: कृपया इरेज़र लाए:।,oda़o: kripayaa ireja़ra laae:.
कृपया शासक लाओ.,Please bring the ruler.,ओड़ो: कृपया शासक लाओःआ।,oda़o: kripayaa shaasaka laaohaa.
कृपया ब्लैकबोर्ड लाएँ।,Please bring the blackboard.,ओड़ोः चिलका ब्लैकबोर्ड लाएः।,oda़oh chilakaa blaikaborda laaeh.
कृपया डेस्क लाएँ।,Please bring a desk.,ओड़ो: कृपया डेस्क लाए:।,oda़o: kripayaa deska laae:.
कृपया कुर्सी लायें.,Please bring a chair.,ओड़ोः मेनदो कुर्सी लअः जना।,oda़oh menado kursii laah janaa.
कृपया वर्कशीट लाएँ।,Please bring the worksheet.,ओड़ो: कृपया वर्कशीट लाए:।,oda़o: kripayaa warkashiita laae:.
कृपया पाठ लाओ.,Please bring the text.,मेनदो कृपया पाठ लाओःआ।,menado kripayaa paatha laaohaa.
कृपया प्रश्न लेकर आएं।,Please bring questions.,ओड़ोः नुतुम लेलकेआते हिजुःजाना।,oda़oh nutuma lelakeaate hijuhjaanaa.
कृपया उत्तर लेकर आएं।,Please come up with an answer.,ओड़ो: कृपया उत्तर लेलकेआते हिजु: जना।,oda़o: kripayaa uttara lelakeaate hiju: janaa.
कृपया नक्शा लायें.,Please bring a map.,ओड़ोः नेआ नक्शा लअः तइना।,oda़oh neaa nakshaa laah tainaa.
कृपया चित्र लाएँ.,Please bring pictures.,ओड़ो: कृपया चित्र लांदा।,oda़o: kripayaa chitrara laandaa.
कृपया चार्ट लेकर आएं।,Please bring the chart.,ओड़ो: कृपया चार्ट लेलकेआते हिजु: जना।,oda़o: kripayaa chaarta lelakeaate hiju: janaa.
कृपया शब्दकोश लाएँ।,Please bring a dictionary.,ओड़ोः कृपया शब्दकोश लाएः।,oda़oh kripayaa shabdakosha laaeh.
कृपया पेज लाएँ.,Please bring up the page.,ओड़ो: कृपया पेज लाए:।,oda़o: kripayaa peja laae:.
कृपया व्यायाम लाएँ।,Please bring exercises.,ओड़ो: कृपया व्यायाम लांदा।,oda़o: kripayaa wyaayaama laandaa.
कृपया कहानी लायें.,Please bring the story.,ओड़ोः मेनदो कहानी लअः तइन केना।,oda़oh menado kahaanii laah taina kenaa.
कृपया कविता लाओ.,Please bring the poem.,ओड़ो: कृपया कविता लाओःआ।,oda़o: kripayaa kawitaa laaohaa.
कृपया नंबर लायें.,Please bring the number.,मेनदो कृपया नंबर लअः नंबर लअः।,menado kripayaa nanbara laah nanbara laah.
कृपया शब्द लाओ.,Please bring the words.,ओड़ो: कृपया शब्द लाओ:आ।,oda़o: kripayaa shabda laao:aa.
कृपया वाक्य लाओ.,Please bring the sentence.,ओड़ो: कृपया वाक्य लाओ:वा,oda़o: kripayaa waakya laao:waa
कृपया उदाहरण लायें.,Please provide examples.,ओड़ोः नेआ उदाहरण लअः तइना।,oda़oh neaa udaaharana laah tainaa.
कृपया होमवर्क लेकर आएं।,Please bring your homework.,नुतुम होमवर्क लेलकेआते हिजुःजाना।,nutuma homawarka lelakeaate hijuhjaanaa.
कृपया पुस्तक को मेज़ पर रखें।,Please put the book on the table.,ओड़ो: कृपया पुस्तक को मेज़ रे ताइकेना।,oda़o: kripayaa pustaka ko meja़ re taaikenaa.
कृपया नोटबुक को मेज़ पर रखें।,Please put the notebook on the table.,मेनदो नोटबुक के मेज़ रे रिकाएः।,menado notabuka ke meja़ re rikaaeh.
कृपया पेंसिल को मेज पर रखें।,Please put the pencil on the table.,ओड़ोः कृपया पेंसिल को मेज रे ताइकेना।,oda़oh kripayaa pensila ko meja re taaikenaa.
कृपया इरेज़र को मेज पर रखें।,Please put the eraser on the table.,इरेज़र के मेज रे ताइकेना।,ireja़ra ke meja re taaikenaa.
कृपया रूलर को मेज पर रखें।,Please put the ruler on the table.,ओड़ो: कृपया रूलर के मेज रे ताइकेना।,oda़o: kripayaa ruulara ke meja re taaikenaa.
कृपया ब्लैकबोर्ड को मेज़ पर रखें।,Please put the blackboard on the table.,नुतुम ब्लैकबोर्ड के मेज़ रे ताइकेना।,nutuma blaikaborda ke meja़ re taaikenaa.
कृपया डेस्क को मेज पर रखें।,Please put the desk on the table.,ओड़ो: कृपया डेस्क के मेज रे ताइकेना।,oda़o: kripayaa deska ke meja re taaikenaa.
कृपया कुर्सी को मेज पर रखें।,Please place the chair at the table.,ओड़ो: कृपया कुर्सी के मेज रे ताइकेना।,oda़o: kripayaa kursii ke meja re taaikenaa.
कृपया वर्कशीट को मेज पर रखें।,Please place the worksheet on the table.,ओड़ोः मेनदो वर्कशीट को मेज रे ताइकेना।,oda़oh menado warkashiita ko meja re taaikenaa.
कृपया पाठ को मेज पर रखें।,Please put the text on the table.,ओड़ो: कृपया पाठ को मेज रे ताइकेना।,oda़o: kripayaa paatha ko meja re taaikenaa.
कृपया प्रश्न को पटल पर रखें।,Please table the question.,ओड़ो: कृपया प्रश्न को पटल रे ताइकेना।,oda़o: kripayaa prashna ko patala re taaikenaa.
कृपया उत्तर पटल पर रखें।,Please put the answer on the table.,ओड़ो: कृपया उत्तर पटल रे ताइकेना।,oda़o: kripayaa uttara patala re taaikenaa.
कृपया मानचित्र को मेज पर रखें।,Please put the map on the table.,ओड़ो: कृपया मानचित्र को मेज रे ताइकेना।,oda़o: kripayaa maanachitrara ko meja re taaikenaa.
कृपया चित्र मेज पर रखें।,Please put the picture on the table.,ओड़ो: कृपया चित्र मेज रे ताइकेना।,oda़o: kripayaa chitrara meja re taaikenaa.
कृपया चार्ट को मेज पर रखें।,Please place the chart on the table.,ओड़ोः कृपया चार्ट को मेज रे ताइकेना।,oda़oh kripayaa chaarta ko meja re taaikenaa.
कृपया शब्दकोष मेज पर रखें।,Please put the dictionary on the table.,ओड़ो: कृपया शब्दकोष मेज रे ताइकेना।,oda़o: kripayaa shabdakosha meja re taaikenaa.
कृपया पृष्ठ को मेज पर रखें।,Please put the page on the table.,मेनदो कृपया पृष्ठ के मेज रे ताइकेना।,menado kripayaa prishtha ke meja re taaikenaa.
कृपया व्यायाम को मेज पर रखें।,Please put the exercise on the table.,ओड़ो: कृपया व्यायाम को मेज रे ताइकेना।,oda़o: kripayaa wyaayaama ko meja re taaikenaa.
कृपया कहानी को पटल पर रखें।,Please keep the story on the table.,ओड़ो: कृपया कहानी को पटल रे ताइकेना।,oda़o: kripayaa kahaanii ko patala re taaikenaa.
कृपया कविता को मेज पर रखें।,Please put the poem on the table.,ओड़ोः कविता को मेज रे ताइकेना।,oda़oh kawitaa ko meja re taaikenaa.
कृपया संख्या पटल पर रखें।,Please put the number on the table.,ओड़ो: कृपया संख्या पटल रे ताइकेना।,oda़o: kripayaa sankhyaa patala re taaikenaa.
कृपया बात को पटल पर रखें।,Please put the matter on the table.,मेनदो कृपया जागार को पटल रे रिकाएआ।,menado kripayaa jaagaara ko patala re rikaaeaa.
कृपया वाक्य को पटल पर रखें।,Please put the sentence on the table.,ओड़ो: कृपया वाक्य को पटल रे ताइकेना।,oda़o: kripayaa waakya ko patala re taaikenaa.
कृपया उदाहरण पटल पर रखें।,Please put examples on the table.,मेनदो उदाहरण पटल रे ताइकेना।,menado udaaharana patala re taaikenaa.
कृपया होमवर्क मेज पर रखें।,Please put your homework on the table.,मेनदो होमवर्क मेज रे ताइकेना।,menado homawarka meja re taaikenaa.
कृपया पुस्तक को ध्यानपूर्वक जांचें।,Please check the book carefully.,ओड़ोः कृपया पुस्तक के ध्यानपूर्वक जांच केदा।,oda़oh kripayaa pustaka ke dhyaanapuurwaka jaancha kedaa.
कृपया नोटबुक को ध्यान से जांचें।,Please check the notebook carefully.,मेनदो नोटबुक के ध्यान ते जांच केदाएः।,menado notabuka ke dhyaana te jaancha kedaaeh.
कृपया पेंसिल को ध्यान से जांचें।,Please check the pencil carefully.,ओड़ोः कृपया पेंसिल के ध्यान ते जांच जना।,oda़oh kripayaa pensila ke dhyaana te jaancha janaa.
कृपया इरेज़र को ध्यान से जांचें।,Please check the eraser carefully.,इरेज़र के ध्यान ते जांच केदाएः।,ireja़ra ke dhyaana te jaancha kedaaeh.
कृपया रूलर की सावधानीपूर्वक जांच करें।,Please check the ruler carefully.,ओड़ो: कृपया रूलर रा: सावधानीपूर्वक जांच रिकाएआ।,oda़o: kripayaa ruulara raa: saawadhaaniipuurwaka jaancha rikaaeaa.
कृपया ब्लैकबोर्ड को ध्यानपूर्वक जांचें।,Please check the blackboard carefully.,मेनदो ब्लैकबोर्ड के ध्यानपूर्वक जांच केदाएः।,menado blaikaborda ke dhyaanapuurwaka jaancha kedaaeh.
कृपया डेस्क की सावधानीपूर्वक जांच करें।,Please examine the desk carefully.,ओड़ोः कृपया डेस्क राः सावधानीपूर्वक जांच केदाएः।,oda़oh kripayaa deska raah saawadhaaniipuurwaka jaancha kedaaeh.
